alert_id,transaction_id,customer_id,transaction_time,channel,amount,country,merchant_category,fraud_risk_score,risk_level,detected_pattern,device_id,counterparty_id,disposition
FRD00001,TX300030,CUST20699,2026-08-20 09:47:00,P2P,250000.0,United States,Services,100,Critical,Unusual Amount,DEV4769,CP14621,Pending
FRD00002,TX300032,CUST20383,2026-08-27 11:48:00,Wire,7090.94,United States,Grocery,63,High,Unusual Amount,DEV4313,CP12007,Escalated
FRD00003,TX300052,CUST20385,2026-06-22 00:59:00,Card,1842.79,United Arab Emirates,Retail,61,High,Unusual Amount,DEV6487,CP10058,Pending
FRD00004,TX300054,CUST20678,2026-02-01 13:49:00,ACH,32696.12,United States,Grocery,62,High,Unusual Amount,DEV7330,CP12987,False Positive
FRD00005,TX300059,CUST20583,2026-04-16 06:05:00,Card,1038.84,United States,Crypto Exchange,68,High,Velocity Spike,DEV6276,CP15956,Escalated
FRD00006,TX300064,CUST20250,2026-02-21 19:40:00,Wire,2023.62,Nigeria,Fuel,60,High,Geo Anomaly,DEV7095,CP15262,Escalated
FRD00007,TX300070,CUST20114,2026-03-31 07:42:00,Card,15731.85,United States,Crypto Exchange,67,High,Unusual Amount,DEV7960,CP11029,False Positive
FRD00008,TX300082,CUST20021,2026-07-12 18:46:00,ACH,10286.58,Nigeria,Crypto Exchange,72,High,Unusual Amount,DEV4594,CP14748,Escalated
FRD00009,TX300108,CUST20694,2026-07-31 01:45:00,ACH,26930.24,United States,Services,60,High,Unusual Amount,DEV5099,CP10497,Pending
FRD00010,TX300124,CUST20648,2026-08-21 05:31:00,P2P,18627.18,United States,Fuel,65,High,Unusual Amount,DEV1816,CP15327,Pending
FRD00011,TX300129,CUST20549,2026-08-19 05:59:00,Card,2831.21,Nigeria,Travel,95,Critical,Velocity Spike,DEV2796,CP10774,False Positive
FRD00012,TX300204,CUST20117,2026-09-03 03:26:00,Card,3945.91,Mexico,Crypto Exchange,63,High,Velocity Spike,DEV1182,CP11762,Escalated
FRD00013,TX300205,CUST20084,2026-08-14 15:50:00,Card,14528.17,Canada,Luxury,72,High,Unusual Amount,DEV2913,CP15353,Pending
FRD00014,TX300225,CUST20447,2026-04-06 18:36:00,Wire,8850.34,Mexico,Grocery,70,High,Unusual Amount,DEV3667,CP14895,Pending
FRD00015,TX300234,CUST20556,2026-05-24 16:14:00,P2P,5083.89,United Kingdom,Luxury,71,High,Unusual Amount,DEV1393,CP12955,Escalated
FRD00016,TX300236,CUST20143,2026-04-26 05:58:00,Cash Deposit,7303.24,Brazil,Electronics,68,High,Unusual Amount,DEV6496,CP15183,Pending
FRD00017,TX300266,CUST20159,2026-06-18 14:47:00,P2P,5375.88,United States,Gaming,62,High,Unusual Amount,DEV7197,CP12617,False Positive
FRD00018,TX300299,CUST20588,2026-02-21 11:45:00,Card,66535.36,United States,Travel,100,Critical,Unusual Amount,DEV1896,CP12356,Pending
FRD00019,TX300334,CUST20476,2026-03-23 03:25:00,Wire,12246.42,Turkey,Crypto Exchange,71,High,Geo Anomaly,DEV2206,CP10876,Pending
FRD00020,TX300359,CUST20066,2026-05-24 08:04:00,Card,8352.38,Brazil,Crypto Exchange,71,High,Unusual Amount,DEV7419,CP14700,False Positive
FRD00021,TX300375,CUST20636,2026-05-31 21:21:00,P2P,4661.83,United Arab Emirates,Retail,86,Critical,Rapid Fund Movement,DEV3694,CP15960,Escalated
FRD00022,TX300389,CUST20598,2026-03-04 06:30:00,P2P,5124.97,United States,Gaming,78,High,Unusual Amount,DEV5228,CP12519,False Positive
FRD00023,TX300393,CUST20468,2026-04-08 17:53:00,Card,12095.24,India,Luxury,64,High,Unusual Amount,DEV3966,CP10496,Pending
FRD00024,TX300403,CUST20349,2026-03-15 09:05:00,P2P,8895.4,United Arab Emirates,Travel,71,High,Unusual Amount,DEV4169,CP15032,Pending
FRD00025,TX300412,CUST20547,2026-05-17 06:32:00,ACH,16081.58,Canada,Retail,100,Critical,Unusual Amount,DEV5907,CP13055,False Positive
FRD00026,TX300450,CUST20705,2026-04-10 21:44:00,Card,6334.13,Canada,Luxury,74,High,Unusual Amount,DEV3164,CP10957,Pending
FRD00027,TX300465,CUST20019,2026-05-24 12:16:00,P2P,11048.53,United States,Fuel,64,High,Unusual Amount,DEV2937,CP15227,False Positive
FRD00028,TX300475,CUST20175,2026-06-14 19:10:00,ATM,6965.46,India,Grocery,65,High,Unusual Amount,DEV7322,CP10058,Pending
FRD00029,TX300485,CUST20553,2026-03-23 20:16:00,P2P,19528.31,Turkey,Travel,73,High,Unusual Amount,DEV4932,CP13419,Pending
FRD00030,TX300529,CUST20530,2026-07-06 00:58:00,Card,14219.41,Turkey,Retail,63,High,Geo Anomaly,DEV2115,CP11760,Pending
FRD00031,TX300548,CUST20423,2026-01-05 07:06:00,Wire,48421.36,United States,Crypto Exchange,63,High,Unusual Amount,DEV7407,CP13112,Escalated
FRD00032,TX300565,CUST20045,2026-03-04 09:04:00,Card,6092.57,United States,Crypto Exchange,65,High,Unusual Amount,DEV7453,CP12051,Confirmed Fraud
FRD00033,TX300598,CUST20045,2026-05-16 19:25:00,Card,773.93,United States,Grocery,75,High,Account Takeover,DEV3140,CP14707,False Positive
FRD00034,TX300611,CUST20310,2026-01-31 02:25:00,ACH,3239.2,Nigeria,Crypto Exchange,68,High,Unusual Amount,DEV3098,CP11743,False Positive
FRD00035,TX300624,CUST20061,2026-01-06 06:15:00,P2P,6245.24,United States,Services,100,Critical,Account Takeover,DEV5094,CP10444,Pending
FRD00036,TX300665,CUST20097,2026-02-13 13:58:00,Wire,9999.16,Brazil,Luxury,79,High,Unusual Amount,DEV7618,CP10777,False Positive
FRD00037,TX300753,CUST20553,2026-09-09 00:13:00,Wire,10031.9,Canada,Luxury,83,Critical,Unusual Amount,DEV2177,CP14456,False Positive
FRD00038,TX300754,CUST20571,2026-04-28 09:40:00,P2P,195.18,India,Gaming,64,High,Velocity Spike,DEV3390,CP14585,Confirmed Fraud
FRD00039,TX300788,CUST20201,2026-06-22 03:44:00,Check,5247.99,United States,Travel,64,High,Unusual Amount,DEV3012,CP14672,False Positive
FRD00040,TX300828,CUST20102,2026-04-11 15:18:00,ATM,18302.0,Nigeria,Gaming,68,High,Unusual Amount,DEV3575,CP14105,False Positive
FRD00041,TX300860,CUST20068,2026-01-08 10:32:00,P2P,10895.09,United States,Retail,78,High,Unusual Amount,DEV3582,CP14943,Escalated
FRD00042,TX300888,CUST20503,2026-02-27 19:08:00,Wire,8257.89,Turkey,Retail,65,High,Unusual Amount,DEV4133,CP12301,Escalated
FRD00043,TX300898,CUST20577,2026-02-01 09:03:00,Card,26391.39,United Kingdom,Electronics,65,High,Unusual Amount,DEV3745,CP15918,Pending
FRD00044,TX300901,CUST20356,2026-01-25 08:29:00,Wire,803.05,United States,Grocery,60,High,Rapid Fund Movement,DEV1855,CP14322,False Positive
FRD00045,TX300911,CUST20476,2026-02-25 07:10:00,P2P,62664.52,Mexico,Electronics,94,Critical,Unusual Amount,DEV5782,CP15492,False Positive
FRD00046,TX300941,CUST20489,2026-02-05 00:52:00,Card,31366.64,United States,Travel,95,Critical,Unusual Amount,DEV1030,CP14422,Pending
FRD00047,TX300945,CUST20035,2026-09-08 12:35:00,P2P,3786.78,Canada,Services,73,High,Unusual Amount,DEV1126,CP13303,Confirmed Fraud
FRD00048,TX300962,CUST20565,2026-07-06 20:06:00,ACH,457.27,United States,Travel,62,High,Rapid Fund Movement,DEV3132,CP10899,False Positive
FRD00049,TX300985,CUST20447,2026-02-11 18:49:00,P2P,2059.03,Brazil,Crypto Exchange,62,High,Geo Anomaly,DEV2368,CP13818,Pending
FRD00050,TX300989,CUST20075,2026-07-14 09:25:00,ACH,5149.43,United States,Travel,73,High,Velocity Spike,DEV5182,CP10131,Escalated
FRD00051,TX300995,CUST20677,2026-05-15 09:20:00,Card,7516.22,Nigeria,Retail,61,High,Unusual Amount,DEV6631,CP12861,False Positive
FRD00052,TX300999,CUST20604,2026-04-12 06:49:00,Check,12853.61,Mexico,Fuel,61,High,Repeated Counterparty,DEV4172,CP99999,Escalated
FRD00053,TX301045,CUST20294,2026-02-23 01:35:00,Wire,1183.47,United States,Gaming,75,High,Velocity Spike,DEV6053,CP12622,Pending
FRD00054,TX301084,CUST20478,2026-01-19 04:32:00,ACH,754.89,United States,Gaming,64,High,Velocity Spike,DEV1685,CP10177,False Positive
FRD00055,TX301090,CUST20174,2026-08-31 03:49:00,ACH,1575.59,United Kingdom,Travel,69,High,Unusual Amount,DEV1441,CP10568,Pending
FRD00056,TX301110,CUST20178,2026-04-29 12:18:00,P2P,1897.81,United States,Electronics,64,High,Rapid Fund Movement,DEV7557,CP13404,Escalated
FRD00057,TX301163,CUST20664,2026-03-22 03:13:00,P2P,21367.68,United States,Crypto Exchange,65,High,Unusual Amount,DEV5138,CP10175,False Positive
FRD00058,TX301166,CUST20159,2026-03-09 16:26:00,Wire,6028.67,United States,Fuel,63,High,Unusual Amount,DEV4945,CP11075,Pending
FRD00059,TX301193,CUST20530,2026-08-22 22:24:00,ATM,62928.57,Nigeria,Services,100,Critical,Unusual Amount,DEV4796,CP15826,Confirmed Fraud
FRD00060,TX301194,CUST20179,2026-06-20 16:49:00,ATM,1485.71,United Kingdom,Gaming,70,High,Velocity Spike,DEV7814,CP13131,Escalated
FRD00061,TX301201,CUST20656,2026-02-18 21:01:00,ACH,17204.27,Canada,Gaming,60,High,Unusual Amount,DEV6906,CP12170,False Positive
FRD00062,TX301214,CUST20663,2026-08-01 10:07:00,Card,7675.6,United States,Fuel,66,High,Unusual Amount,DEV2069,CP15920,Escalated
FRD00063,TX301234,CUST20273,2026-08-12 00:35:00,Card,1028.88,United States,Fuel,71,High,Account Takeover,DEV5336,CP14877,False Positive
FRD00064,TX301242,CUST20210,2026-03-09 14:24:00,ACH,1065.61,United Kingdom,Crypto Exchange,67,High,Velocity Spike,DEV4767,CP11681,False Positive
FRD00065,TX301244,CUST20076,2026-07-02 04:46:00,Card,5475.63,United States,Gaming,60,High,Unusual Amount,DEV2471,CP15946,Confirmed Fraud
FRD00066,TX301264,CUST20527,2026-02-21 06:57:00,Cash Deposit,1580.1,United Kingdom,Electronics,80,Critical,Velocity Spike,DEV5341,CP11887,Confirmed Fraud
FRD00067,TX301277,CUST20646,2026-05-03 11:24:00,Wire,1637.29,United States,Services,67,High,Rapid Fund Movement,DEV3215,CP13813,False Positive
FRD00068,TX301289,CUST20256,2026-08-17 20:32:00,Cash Deposit,12147.48,United Kingdom,Gaming,76,High,Unusual Amount,DEV5308,CP13632,Escalated
FRD00069,TX301307,CUST20385,2026-02-24 20:53:00,Wire,4255.69,United States,Gaming,100,Critical,Rapid Fund Movement,DEV5798,CP13563,Pending
FRD00070,TX301322,CUST20035,2026-01-12 04:18:00,ACH,2147.48,Turkey,Crypto Exchange,90,Critical,Geo Anomaly,DEV1827,CP14076,Pending
FRD00071,TX301343,CUST20174,2026-03-01 21:36:00,Check,3914.64,United Kingdom,Crypto Exchange,72,High,Unusual Amount,DEV2344,CP14962,Pending
