customer_id,customer_type,home_country,account_tenure_months,expected_monthly_volume,baseline_risk
CUST20000,Individual,Mexico,37,27306.42,Low
CUST20001,Individual,Nigeria,70,12695.01,Low
CUST20002,Individual,India,107,17730.74,Low
CUST20003,Individual,United States,52,20964.87,Low
CUST20004,Individual,United Arab Emirates,74,12399.16,Low
CUST20005,Individual,United Kingdom,67,5695.71,Low
CUST20006,Individual,India,29,46873.9,Low
CUST20007,Individual,United States,5,6375.67,High
CUST20008,Individual,United Arab Emirates,89,5613.42,Low
CUST20009,Individual,Mexico,70,10961.38,High
CUST20010,Individual,United States,112,8306.26,Moderate
CUST20011,Individual,United Arab Emirates,21,24329.81,Low
CUST20012,Individual,Mexico,54,42674.17,Moderate
CUST20013,Business,Canada,109,52617.48,High
CUST20014,Individual,India,42,7494.41,Moderate
CUST20015,Individual,United Kingdom,36,26627.13,Low
CUST20016,Individual,United States,75,8982.08,Moderate
CUST20017,Business,Brazil,53,12153.87,Low
CUST20018,Business,Canada,41,7172.41,Moderate
CUST20019,Individual,Mexico,88,8200.38,Low
CUST20020,Business,United Kingdom,1,19384.68,Low
CUST20021,Individual,United Arab Emirates,111,6429.94,Low
CUST20022,Individual,United Kingdom,114,6596.39,Moderate
CUST20023,Individual,United States,41,6553.16,Low
CUST20024,Individual,United Arab Emirates,53,47773.8,Moderate
CUST20025,Individual,United States,46,10894.62,High
CUST20026,Individual,United States,97,46329.28,Low
CUST20027,Individual,United States,108,7526.61,Low
CUST20028,Business,Canada,42,25176.73,Low
CUST20029,Business,United States,21,5128.41,Low
CUST20030,Business,India,116,16087.96,Moderate
CUST20031,Individual,Mexico,68,4523.03,Low
CUST20032,Individual,United States,94,3733.84,Moderate
CUST20033,Individual,United States,38,5423.5,Moderate
CUST20034,Individual,United States,77,9495.78,Moderate
CUST20035,Individual,United States,52,2527.93,Low
CUST20036,Individual,India,48,10565.13,High
CUST20037,Individual,India,2,18521.34,Moderate
CUST20038,Individual,United States,18,19272.73,Low
CUST20039,Individual,United States,87,96442.61,Moderate
CUST20040,Individual,Mexico,45,15000.28,Moderate
CUST20041,Individual,United States,115,26004.31,Moderate
CUST20042,Individual,United States,9,8230.21,Moderate
CUST20043,Individual,Nigeria,70,9386.82,Low
CUST20044,Individual,Turkey,105,10250.38,Moderate
CUST20045,Individual,Nigeria,49,3749.28,Moderate
CUST20046,Individual,United Arab Emirates,111,16243.68,Moderate
CUST20047,Business,United States,96,16806.62,Moderate
CUST20048,Individual,Brazil,108,5080.81,Moderate
CUST20049,Individual,United States,73,11588.69,Moderate
CUST20050,Individual,United States,60,23188.01,Low
CUST20051,Individual,United States,51,4929.94,Moderate
CUST20052,Individual,United States,16,2620.04,Low
CUST20053,Individual,United States,16,11227.33,Low
CUST20054,Individual,United States,115,6123.19,Low
CUST20055,Individual,Brazil,93,23785.44,Low
CUST20056,Business,United States,19,11462.78,Low
CUST20057,Individual,United States,93,16958.04,Low
CUST20058,Individual,United States,116,15621.08,Low
CUST20059,Business,United States,26,21437.14,Low
CUST20060,Business,Canada,34,4203.59,High
CUST20061,Individual,Mexico,5,2645.51,Low
CUST20062,Business,United States,79,10682.23,High
CUST20063,Individual,Turkey,83,17499.04,High
CUST20064,Individual,Mexico,101,18495.02,Moderate
CUST20065,Individual,United States,25,21489.6,Moderate
CUST20066,Business,India,58,3320.96,Low
CUST20067,Individual,United States,90,15571.84,Low
CUST20068,Individual,United States,90,11897.49,Moderate
CUST20069,Individual,India,31,5280.83,Low
CUST20070,Individual,United States,104,10441.37,High
CUST20071,Business,India,33,7594.46,Low
CUST20072,Individual,Turkey,97,13619.37,Low
CUST20073,Individual,Mexico,33,9580.14,Moderate
CUST20074,Business,United States,72,25666.02,Low
CUST20075,Individual,United States,78,8920.17,Low
CUST20076,Business,United States,48,4669.13,Moderate
CUST20077,Individual,United States,85,16095.84,Low
CUST20078,Business,United Arab Emirates,20,10603.76,Low
CUST20079,Individual,Brazil,76,12063.24,Moderate
CUST20080,Individual,India,101,3467.12,Low
CUST20081,Individual,Turkey,79,16024.92,Moderate
CUST20082,Individual,Brazil,43,19201.67,Low
CUST20083,Individual,United States,53,3496.81,Low
CUST20084,Individual,United States,1,4290.75,Low
CUST20085,Individual,United States,46,19934.84,High
CUST20086,Individual,United States,60,10917.3,High
CUST20087,Business,Mexico,6,13701.93,Low
CUST20088,Individual,Canada,105,37800.64,Low
CUST20089,Individual,Brazil,61,36345.0,Moderate
CUST20090,Individual,United States,67,4841.13,High
CUST20091,Individual,India,63,142784.23,Moderate
