transaction_id,customer_id,transaction_time,channel,merchant_category,amount,country,device_id,counterparty_id,injected_pattern,expected_monthly_volume,home_country,amount_to_expected_ratio,cross_border_flag,fraud_risk_score,risk_level,flagged,detected_pattern
TX300000,CUST20469,2026-03-25 11:12:00,ACH,Crypto Exchange,2361.93,United States,DEV2977,CP15008,Normal,19639.0,Mexico,0.12026732522022505,1,29,Low,0,Behavioral Anomaly
TX300001,CUST20523,2026-04-21 01:45:00,Card,Luxury,3753.4,United States,DEV2906,CP13169,Normal,22210.01,United States,0.16899587168128247,0,27,Low,0,Behavioral Anomaly
TX300002,CUST20141,2026-02-28 03:12:00,Check,Travel,5616.08,United States,DEV6399,CP15214,Normal,14788.27,United States,0.3797658549647795,0,5,Low,0,Behavioral Anomaly
TX300003,CUST20434,2026-06-25 01:33:00,Card,Retail,797.5,United Kingdom,DEV2598,CP13188,Normal,10173.75,United States,0.07838800835483474,1,27,Low,0,Behavioral Anomaly
TX300004,CUST20426,2026-05-07 01:05:00,Wire,Travel,479.34,United States,DEV7996,CP13922,Normal,17320.03,United Arab Emirates,0.027675471693755727,1,34,Moderate,0,Geo Anomaly
TX300005,CUST20004,2026-09-06 16:29:00,Card,Gaming,1407.13,Mexico,DEV2679,CP13203,Normal,12399.16,United Arab Emirates,0.11348591356188646,1,23,Low,0,Behavioral Anomaly
TX300006,CUST20118,2026-08-29 10:41:00,P2P,Services,952.64,Canada,DEV4181,CP12095,Normal,12665.49,United States,0.07521540816817983,1,36,Moderate,0,Geo Anomaly
TX300007,CUST20391,2026-02-19 22:58:00,ATM,Luxury,6606.36,United States,DEV5001,CP11997,Normal,36409.3,United States,0.18144704786963767,0,26,Low,0,Behavioral Anomaly
TX300008,CUST20461,2026-08-29 19:43:00,Cash Deposit,Grocery,14228.82,United States,DEV6294,CP14127,Normal,12469.71,United States,1.1410706423806167,0,41,Moderate,0,Unusual Amount
TX300009,CUST20621,2026-02-09 23:15:00,Cash Deposit,Fuel,293.21,United States,DEV4429,CP11301,Normal,19536.12,United States,0.015008609693224652,0,23,Low,0,Behavioral Anomaly
TX300010,CUST20212,2026-02-25 09:19:00,Card,Gaming,1494.29,United States,DEV2874,CP10802,Normal,8158.61,United States,0.18315497370262826,0,25,Low,0,Behavioral Anomaly
TX300011,CUST20556,2026-09-01 16:56:00,Wire,Travel,658.62,Nigeria,DEV4960,CP15534,Normal,3138.84,United States,0.20982910884275718,1,30,Moderate,0,Geo Anomaly
TX300012,CUST20113,2026-06-20 21:06:00,Wire,Electronics,814.83,United States,DEV1581,CP14667,Normal,14944.2,United States,0.05452483237644036,0,30,Moderate,0,Behavioral Anomaly
TX300013,CUST20054,2026-09-03 01:13:00,P2P,Grocery,8386.17,United States,DEV2098,CP10606,Normal,6123.19,United States,1.3695753357318654,0,52,Moderate,0,Unusual Amount
TX300014,CUST20657,2026-09-02 07:45:00,ACH,Gaming,1831.64,United States,DEV7362,CP15701,Normal,33940.53,United States,0.0539661578649479,0,27,Low,0,Behavioral Anomaly
TX300015,CUST20564,2026-02-27 21:47:00,Wire,Grocery,315.12,Turkey,DEV1848,CP15013,Normal,32095.76,United States,0.009818119278060405,1,31,Moderate,0,Geo Anomaly
TX300016,CUST20253,2026-03-13 06:49:00,Card,Grocery,2658.42,United States,DEV1515,CP14779,Normal,13961.1,United Kingdom,0.19041622794765456,1,27,Low,0,Behavioral Anomaly
TX300017,CUST20615,2026-03-10 04:25:00,Cash Deposit,Electronics,3131.91,Turkey,DEV4200,CP14445,Normal,53089.14,United States,0.05899342125338628,1,32,Moderate,0,Behavioral Anomaly
TX300018,CUST20157,2026-04-01 13:14:00,Card,Fuel,617.05,Canada,DEV6700,CP14267,Normal,20067.43,Canada,0.030748830318580903,0,3,Low,0,Behavioral Anomaly
TX300019,CUST20278,2026-03-16 23:43:00,P2P,Electronics,909.78,United Kingdom,DEV3484,CP10138,Normal,30766.01,Mexico,0.02957094533870333,1,18,Low,0,Geo Anomaly
TX300020,CUST20388,2026-05-19 09:56:00,Card,Crypto Exchange,399.84,United States,DEV3428,CP14582,Normal,16115.94,United States,0.024810218950926843,0,14,Low,0,Behavioral Anomaly
TX300021,CUST20175,2026-06-14 23:09:00,Card,Fuel,2100.1,United Arab Emirates,DEV1426,CP12556,Normal,61046.77,United States,0.03440149249501653,1,11,Low,0,Behavioral Anomaly
TX300022,CUST20553,2026-05-18 23:42:00,Card,Luxury,1489.22,Brazil,DEV2849,CP14589,Normal,8911.6,United States,0.16711028322635665,1,18,Low,0,Behavioral Anomaly
TX300023,CUST20356,2026-08-13 00:49:00,ACH,Retail,17286.45,Brazil,DEV7523,CP15524,Normal,52165.25,United States,0.3313786476629557,1,29,Low,0,Behavioral Anomaly
TX300024,CUST20341,2026-06-27 11:30:00,ACH,Grocery,3436.69,United States,DEV1048,CP10351,Normal,5713.19,Canada,0.6015360945461292,1,40,Moderate,0,Behavioral Anomaly
TX300025,CUST20543,2026-02-26 12:38:00,P2P,Grocery,1125.34,United States,DEV3907,CP10182,Normal,31206.97,United States,0.036060533912776534,0,16,Low,0,Behavioral Anomaly
TX300026,CUST20200,2026-02-01 22:56:00,Cash Deposit,Electronics,309.01,United Kingdom,DEV5848,CP13694,Normal,6398.75,United States,0.04829224457901934,1,27,Low,0,Behavioral Anomaly
TX300027,CUST20361,2026-03-24 01:27:00,Card,Crypto Exchange,5493.14,India,DEV2654,CP10410,Normal,10368.36,Brazil,0.5297983480511865,1,40,Moderate,0,Behavioral Anomaly
TX300028,CUST20581,2026-07-10 04:15:00,Card,Fuel,1222.77,United Kingdom,DEV4655,CP12481,Normal,9430.4,United States,0.12966258059043095,1,30,Moderate,0,Behavioral Anomaly
TX300029,CUST20369,2026-09-10 18:55:00,ACH,Grocery,637.36,United Kingdom,DEV5143,CP12947,Normal,6578.8,Turkey,0.09688089013193896,1,21,Low,0,Behavioral Anomaly
TX300030,CUST20699,2026-08-20 09:47:00,P2P,Services,250000.0,United States,DEV4769,CP14621,Unusual Amount,8896.52,Mexico,28.10087539847041,1,100,Critical,1,Unusual Amount
TX300031,CUST20046,2026-08-11 01:05:00,ACH,Travel,1443.05,United States,DEV1876,CP11242,Normal,16243.68,United Arab Emirates,0.08883762792667671,1,18,Low,0,Behavioral Anomaly
TX300032,CUST20383,2026-08-27 11:48:00,Wire,Grocery,7090.94,United States,DEV4313,CP12007,Normal,4820.53,India,1.470987629990893,1,63,High,1,Unusual Amount
TX300033,CUST20075,2026-08-14 09:00:00,Card,Crypto Exchange,201.38,Canada,DEV4907,CP12612,Normal,8920.17,United States,0.022575802927522683,1,25,Low,0,Behavioral Anomaly
TX300034,CUST20744,2026-01-16 03:03:00,Check,Crypto Exchange,1079.61,United States,DEV7129,CP10552,Normal,19427.42,United Kingdom,0.05557145519065321,1,38,Moderate,0,Behavioral Anomaly
TX300035,CUST20460,2026-04-04 08:45:00,Cash Deposit,Grocery,4110.9,United Arab Emirates,DEV2987,CP11490,Normal,8773.27,United States,0.4685710117208292,1,45,Moderate,0,Behavioral Anomaly
TX300036,CUST20041,2026-07-25 17:48:00,Card,Services,604.59,United States,DEV1269,CP11460,Normal,26004.31,United States,0.02324960746891573,0,3,Low,0,Behavioral Anomaly
TX300037,CUST20294,2026-03-20 20:10:00,Check,Crypto Exchange,1667.2,Nigeria,DEV2998,CP15836,Normal,22571.64,United Kingdom,0.07386259926172843,1,29,Low,0,Behavioral Anomaly
TX300038,CUST20033,2026-04-10 04:27:00,ATM,Luxury,772.34,Turkey,DEV4974,CP14032,Normal,5423.5,United States,0.14240619526136258,1,38,Moderate,0,Behavioral Anomaly
TX300039,CUST20472,2026-08-27 16:57:00,Check,Grocery,1106.49,United Kingdom,DEV7444,CP11301,Normal,5303.84,United States,0.20862054662282423,1,25,Low,0,Behavioral Anomaly
TX300040,CUST20574,2026-09-09 07:51:00,Card,Services,1433.0,Canada,DEV7548,CP11657,Normal,7172.2,Canada,0.19979922478458492,0,14,Low,0,Behavioral Anomaly
TX300041,CUST20715,2026-03-23 16:11:00,Cash Deposit,Electronics,956.45,United States,DEV3026,CP10303,Normal,6906.04,Nigeria,0.13849470897938618,1,30,Moderate,0,Behavioral Anomaly
TX300042,CUST20495,2026-03-23 20:55:00,Card,Luxury,855.23,United Kingdom,DEV1402,CP15055,Normal,32961.55,United Arab Emirates,0.025946291967459054,1,28,Low,0,Behavioral Anomaly
TX300043,CUST20136,2026-05-22 14:35:00,Card,Crypto Exchange,1402.73,United States,DEV6513,CP10007,Normal,23371.68,Canada,0.06001836410561842,1,39,Moderate,0,Behavioral Anomaly
TX300044,CUST20135,2026-01-13 06:14:00,ACH,Gaming,2517.45,Turkey,DEV6577,CP10985,Normal,41384.69,Nigeria,0.060830466532430225,1,27,Low,0,Behavioral Anomaly
TX300045,CUST20530,2026-08-19 15:13:00,ACH,Travel,2638.67,United States,DEV2495,CP14651,Rapid Fund Movement,27454.91,India,0.09610922053650878,1,56,Moderate,0,Rapid Fund Movement
TX300046,CUST20571,2026-07-10 04:53:00,Wire,Services,829.92,Mexico,DEV4072,CP10353,Normal,8956.32,United States,0.0926630580416957,1,38,Moderate,0,Geo Anomaly
TX300047,CUST20433,2026-07-31 07:19:00,Wire,Retail,2913.69,Brazil,DEV1465,CP13959,Normal,41716.47,United States,0.06984507557806305,1,18,Low,0,Geo Anomaly
TX300048,CUST20238,2026-06-03 19:44:00,Wire,Travel,2178.79,United States,DEV1229,CP13326,Normal,8781.22,United Arab Emirates,0.24811928183099843,1,27,Low,0,Geo Anomaly
TX300049,CUST20232,2026-06-16 16:48:00,ACH,Services,2606.18,United States,DEV1468,CP11517,Normal,17699.52,United Arab Emirates,0.14724580101607274,1,15,Low,0,Behavioral Anomaly
TX300050,CUST20621,2026-04-27 14:49:00,Card,Gaming,2463.86,United States,DEV1045,CP15678,Normal,19536.12,United States,0.1261181851872327,0,18,Low,0,Behavioral Anomaly
TX300051,CUST20413,2026-04-16 13:07:00,ACH,Travel,4546.28,United States,DEV1696,CP12261,Normal,15290.67,Mexico,0.29732379287500155,1,21,Low,0,Behavioral Anomaly
TX300052,CUST20385,2026-06-22 00:59:00,Card,Retail,1842.79,United Arab Emirates,DEV6487,CP10058,Normal,1411.81,Mexico,1.3052677059944326,1,61,High,1,Unusual Amount
TX300053,CUST20278,2026-03-07 17:02:00,ACH,Luxury,1564.8,United States,DEV3300,CP14859,Normal,30766.01,Mexico,0.050861323909080186,1,30,Moderate,0,Behavioral Anomaly
TX300054,CUST20678,2026-02-01 13:49:00,ACH,Grocery,32696.12,United States,DEV7330,CP12987,Normal,14632.82,United States,2.234437381174647,0,62,High,1,Unusual Amount
TX300055,CUST20004,2026-04-03 15:42:00,Card,Crypto Exchange,2139.52,United States,DEV7331,CP10480,Normal,12399.16,United Arab Emirates,0.17255362460037615,1,37,Moderate,0,Behavioral Anomaly
TX300056,CUST20640,2026-02-04 02:35:00,ATM,Services,952.27,Nigeria,DEV5930,CP11210,Normal,16080.8,United States,0.05921782498383165,1,25,Low,0,Behavioral Anomaly
TX300057,CUST20420,2026-04-29 21:45:00,ACH,Retail,7523.86,Canada,DEV7837,CP15504,Normal,21980.53,United Arab Emirates,0.3422965688270483,1,12,Low,0,Behavioral Anomaly
TX300058,CUST20105,2026-05-06 20:05:00,ATM,Retail,2506.23,Mexico,DEV2247,CP14878,Normal,15006.67,Brazil,0.1670077372261801,1,18,Low,0,Behavioral Anomaly
TX300059,CUST20583,2026-04-16 06:05:00,Card,Crypto Exchange,1038.84,United States,DEV6276,CP15956,Velocity Spike,11297.1,Brazil,0.09195634277823511,1,68,High,1,Velocity Spike
TX300060,CUST20625,2026-07-10 19:33:00,Check,Retail,2161.99,United States,DEV3071,CP11152,Normal,26441.51,United Kingdom,0.08176499753607112,1,26,Low,0,Behavioral Anomaly
TX300061,CUST20326,2026-02-10 09:38:00,Wire,Electronics,630.47,United States,DEV5743,CP12547,Normal,2472.93,United Arab Emirates,0.2549485832595343,1,18,Low,0,Geo Anomaly
TX300062,CUST20305,2026-09-03 00:39:00,Card,Grocery,1836.86,United States,DEV5408,CP12968,Normal,8120.89,Canada,0.2261894940086616,1,14,Low,0,Behavioral Anomaly
TX300063,CUST20702,2026-04-08 01:13:00,Card,Fuel,2397.81,United States,DEV5953,CP12654,Normal,17851.19,United States,0.1343221376277996,0,20,Low,0,Behavioral Anomaly
TX300064,CUST20250,2026-02-21 19:40:00,Wire,Fuel,2023.62,Nigeria,DEV7095,CP15262,Geo Anomaly,11751.5,United States,0.17220099561758073,1,60,High,1,Geo Anomaly
TX300065,CUST20416,2026-06-04 13:37:00,ACH,Retail,4100.27,United States,DEV2609,CP14544,Normal,5637.47,Mexico,0.727324491305497,1,41,Moderate,0,Behavioral Anomaly
TX300066,CUST20291,2026-01-19 13:49:00,ACH,Travel,4385.2,United States,DEV7482,CP15095,Normal,6550.5,Nigeria,0.669445080528204,1,35,Moderate,0,Behavioral Anomaly
TX300067,CUST20533,2026-01-30 13:02:00,Card,Gaming,2899.4,India,DEV1387,CP13192,Normal,12939.46,Nigeria,0.22407426585035237,1,28,Low,0,Behavioral Anomaly
TX300068,CUST20544,2026-05-17 04:09:00,P2P,Retail,2629.59,United States,DEV2164,CP13071,Normal,8793.45,India,0.29903962608532486,1,19,Low,0,Geo Anomaly
TX300069,CUST20716,2026-07-14 09:00:00,Cash Deposit,Luxury,1509.47,United States,DEV6967,CP15239,Normal,22097.43,United Kingdom,0.06830975366818676,1,24,Low,0,Behavioral Anomaly
TX300070,CUST20114,2026-03-31 07:42:00,Card,Crypto Exchange,15731.85,United States,DEV7960,CP11029,Normal,12826.57,Nigeria,1.22650482553013,1,67,High,1,Unusual Amount
TX300071,CUST20661,2026-03-02 15:06:00,ATM,Retail,3858.6,United States,DEV1212,CP12279,Normal,41110.22,Mexico,0.09385987231398907,1,29,Low,0,Behavioral Anomaly
